Season,Name,Team,Rebound,Assist,Point
2000-2001,Ibrahim Kutluay,ATH,44,22,282
2000-2001,Andrew Betts,ATH,122,18,213
2000-2001,Vrbica Stefanov,ATH,46,41,179
2000-2001,Dimos Dikoudis,ATH,92,8,147
2000-2001,Martin Muursepp,ATH,83,12,147
2000-2001,Nikos Chatzis,ATH,31,20,131
2000-2001,Mihalis Kakiouzis,ATH,65,7,121
2000-2001,Milan Gurovic,ATH,10,1,52
2000-2001,Steven Hansell,ATH,9,10,44
2000-2001,Gerrit Hammink,ATH,33,4,41
2000-2001,Vassilis Kikilas,ATH,25,4,12
2000-2001,Spyridon Panteliadis,ATH,7,7,8
2000-2001,Nikos Zisis,ATH,3,0,4
2000-2001,Dimitrios Misiakos,ATH,1,0,2
2000-2001,Miltiadis Moschou,ATH,4,0,0
2000-2001,Gregor Fucka,BOL,143,12,335
2000-2001,Manu Ginobili,BOL,91,44,334
2000-2001,Rashard Griffith,BOL,183,13,292
2000-2001,Antoine Rigaudeau,BOL,37,30,272
2000-2001,Marko Jaric,BOL,67,50,228
2000-2001,Gianluca Basile,BOL,55,39,179
2000-2001,David Andersen,BOL,82,10,160
2000-2001,Matjaz Smodis,BOL,46,8,157
2000-2001,Carlton Myers,BOL,21,19,156
2000-2001,Alessandro Abbio,BOL,53,25,155
2000-2001,Adrian Autry,BOL,41,21,130
2000-2001,Giacomo Galanda,BOL,62,12,126
2000-2001,Alessandro Frosini,BOL,79,9,116
2000-2001,Anthony Bowie,BOL,36,10,111
2000-2001,Andrea Meneghin,BOL,36,20,108
2000-2001,Eurelijus Zukauskas,BOL,39,2,68
2000-2001,Stojko Vrankovic,BOL,65,6,62
2000-2001,Nikola Jestratijevic,BOL,29,2,59
2000-2001,Davide Bonora,BOL,21,9,54
2000-2001,Alessandro De Pol,BOL,20,4,48
2000-2001,Massimo Ruggeri,BOL,17,2,38
2000-2001,Claudio Pilutti,BOL,25,7,37
2000-2001,Hugo Ariel Sconochini,BOL,9,4,21
2000-2001,Fabrizio Ambrassa,BOL,3,1,8
2000-2001,Gianluca Ghedini,BOL,0,0,3
2000-2001,Cristian Akrivos,BOL,0,0,0
2000-2001,David Brkic,BOL,0,0,0
2000-2001,Dejan Tomasevic,BUD,138,37,275
2000-2001,Igor Rakocevic,BUD,30,20,142
2000-2001,Milenko Topic,BUD,62,26,130
2000-2001,Dejan Radonjic,BUD,18,8,80
2000-2001,Vladimir Kuzmanovic,BUD,31,9,72
2000-2001,Sasa Obradovic,BUD,13,8,61
2000-2001,Dragan Vukcevic,BUD,13,4,60
2000-2001,Dejan Milojevic,BUD,35,2,51
2000-2001,Haris Brkic,BUD,5,9,40
2000-2001,Jerome James,BUD,16,1,32
2000-2001,Bojan Bakic,BUD,3,3,19
2000-2001,Balsa Radunovic,BUD,3,0,7
2000-2001,Blagota Sekulic,BUD,3,0,0
2000-2001,Elmer Bennett,CAJ,49,120,314
2000-2001,Victor Alexander,CAJ,154,16,297
2000-2001,Saulius Stombergas,CAJ,52,15,265
2000-2001,Fabricio Oberto,CAJ,162,24,240
2000-2001,Luis Scola,CAJ,96,15,192
2000-2001,Laurent Foirest,CAJ,57,19,173
2000-2001,Mindaugas Timinskas,CAJ,66,26,134
2000-2001,Chris Corchiani,CAJ,20,10,52
2000-2001,Sergi Vidal,CAJ,6,3,20
2000-2001,Daniel Garcia,CAJ,14,5,17
2000-2001,Josip Sesar,CIB,24,22,188
2000-2001,Arthur Lee,CIB,23,20,155
2000-2001,Tunji Awojobi,CIB,65,18,138
2000-2001,Nikola Prkacin,CIB,47,10,100
2000-2001,Mate Skelin,CIB,82,4,79
2000-2001,Matej Mamic,CIB,63,3,75
2000-2001,Sandro Nicevic,CIB,37,2,67
2000-2001,Gordan Giricek,CIB,18,5,62
2000-2001,Boris Dzidic,CIB,13,0,19
2000-2001,Zoran Planinic,CIB,7,6,10
2000-2001,Branimir Longin,CIB,4,1,10
2000-2001,Davor Kus,CIB,4,2,8
2000-2001,Alfonso Reyes,EST,76,5,190
2000-2001,Rico Hill,EST,49,9,127
2000-2001,Carlos Jimenez,EST,73,15,107
2000-2001,Nenad Markovic,EST,19,16,104
2000-2001,Shaun Vandiver,EST,58,9,104
2000-2001,Felipe Reyes,EST,49,7,95
2000-2001,Pedro Robles,EST,5,8,80
2000-2001,Nacho Azofra,EST,31,32,76
2000-2001,Gonzalo Martinez,EST,8,29,49
2000-2001,Asier Garcia,EST,24,2,30
