Season,Name,Team,Rebound,Assist,Point
2016−2017,Ali Muhammed,FEN,93,106,386
2016−2017,Ekpe Udoh,FEN,241,68,376
2016−2017,Jan Vesely,FEN,154,49,328
2016−2017,Bogdan Bogdanovic,FEN,84,80,321
2016−2017,Gigi Datome,FEN,122,35,303
2016−2017,Kostas Sloukas,FEN,62,130,268
2016−2017,Nikola Kalinic,FEN,101,51,249
2016−2017,James Nunnally,FEN,67,58,192
2016−2017,Pero Antic,FEN,75,19,130
2016−2017,Melih Mahmutoglu,FEN,10,11,79
2016−2017,Ahmet Duverioglu,FEN,12,1,30
2016−2017,Anthony Bennett,FEN,9,2,12
2016−2017,Baris Hersek,FEN,0,0,4
2016−2017,Berk Ugurlu,FEN,1,2,2
2016−2017,Egehan Arna,FEN,0,0,0
2016−2017,Yordan Minchev,FEN,2,0,0
2017−2018,Jan Vesely,FEN,174,53,424
2017−2018,Brad Wanamaker,FEN,97,138,408
2017−2018,Kostas Sloukas,FEN,87,188,351
2017−2018,Gigi Datome,FEN,117,38,336
2017−2018,Nicolo Melli,FEN,179,62,320
2017−2018,James Nunnally,FEN,59,39,269
2017−2018,Marko Guduric,FEN,56,69,241
2017−2018,Jason Thompson,FEN,140,30,180
2017−2018,Ali Muhammed,FEN,23,25,146
2017−2018,Nikola Kalinic,FEN,30,23,104
2017−2018,Ahmet Duverioglu,FEN,48,14,90
2017−2018,Melih Mahmutoglu,FEN,10,5,35
2017−2018,Sinan Guler,FEN,9,7,23
2017−2018,Egehan Arna,FEN,0,1,2
2017−2018,Baris Hersek,FEN,0,0,0
